iso3,country_faostat,eppo_code,scientific_name,biological_class,distribution_status,presence_weight,regulatory_weight,production_tonnes,harvested_area_ha,host_breadth_score,geo_breadth_score,tomato_importance_score,tomato_importance_score_log,iefp_t_integrated,iefp_t_integrated_log_sensitivity,exposure_class_integrated,exposure_class_log_sensitivity
USA,United States of America,TOCV00,Crinivirus tomatichlorosis,virus,A | B | X,1.0,1.0,10932903.8,112002.0,0.13660062565172054,0.4264705882352941,0.1398170308826537,0.8697782750919683,0.008145201808305242,0.050669932942930554,alta,alta
TUR,Türkiye,TYLCV0,Begomovirus coheni,virus,B,1.0,1.0,13443254.6,169401.4,0.09384775808133472,0.45588235294117646,0.1863594388651923,0.8904148484451926,0.007973115905567785,0.03809509641112199,alta,alta
EGY,Egypt,TOCV00,Crinivirus tomatichlorosis,virus,A,1.0,1.0,6777502.452,161718.6,0.13660062565172054,0.4264705882352941,0.12873259379045981,0.8696540714085086,0.007499465187541509,0.050662697314618844,alta,alta
PRT,Portugal,DITYDI,Ditylenchus dipsaci,nematode,B | J | X,1.0,1.0,1665262.0,17432.0,0.47236704900938475,0.7352941176470589,0.02146608703597676,0.7504464136739872,0.007455788372766878,0.2606515866668069,alta,alta
TUN,Tunisia,DITYDI,Ditylenchus dipsaci,nematode,C,1.0,1.0,1347012.7859999998,22036.6,0.47236704900938475,0.7352941176470589,0.0209803615410665,0.7529599870782407,0.00728708196198792,0.26152462288109785,alta,alta
TUR,Türkiye,TRSV00,Nepovirus nicotianae,virus,D,1.0,1.0,13443254.6,169401.4,0.16579770594369134,0.23529411764705882,0.1863594388651923,0.8904148484451926,0.007270109987012347,0.03473617393186177,alta,alta
IND,India,TRV000,Tobravirus tabaci,virus,B | X,1.0,1.0,20834644.6,841798.6,0.05526590198123045,0.23529411764705882,0.5528070236103583,0.9602662634909727,0.007188559713267249,0.012487054398582236,alta,alta
IND,India,BCTV00,Curtovirus betae,virus,C | X,1.0,1.0,20834644.6,841798.6,0.08029197080291971,0.16176470588235295,0.5528070236103583,0.9602662634909727,0.0071800826381336795,0.01247232909858391,alta,alta
IND,India,TOLCND,Begomovirus solanumdelhiense,virus,A | X,1.0,1.0,20834644.6,841798.6,0.07820646506777894,0.16176470588235295,0.5528070236103583,0.9602662634909727,0.006993586985195143,0.012148372498620691,alta,alta
UKR,Ukraine,RALSSO,Ralstonia solanacearum species complex,bacteria,D,1.0,1.0,1821342.0,63860.0,0.18248175182481752,0.8676470588235294,0.04389196287620602,0.7996193628072672,0.006949403740060528,0.12660353801424637,alta,alta
TUR,Türkiye,PEPMV0,Potexvirus pepini,virus,C,1.0,1.0,13443254.6,169401.4,0.08446298227320125,0.4411764705882353,0.1863594388651923,0.8904148484451926,0.006944326756462265,0.033179600100009476,alta,alta
KEN,Kenya,DITYDI,Ditylenchus dipsaci,nematode,C,1.0,1.0,689141.264,30375.0,0.47236704900938475,0.7352941176470589,0.019438514610828572,0.7458131800213421,0.006751554252825664,0.25904233158749,alta,alta
JOR,Jordan,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,610163.782,8336.8,1.0,0.7647058823529411,0.008753808713405017,0.6959419844030481,0.006694089016133248,0.5321909292493897,alta,alta
ITA,Italy,PHYPSO,'Candidatus Phytoplasma solani',phytoplasma,A | X,1.0,1.0,6213584.0,100250.0,0.18665276329509906,0.36764705882352944,0.09614067539471903,0.850041558885175,0.006597398061574061,0.05833184039764396,alta,alta
EGY,Egypt,TOBRFV,Tobamovirus fructirugosum,virus,B,1.0,1.0,6777502.452,161718.6,0.08654848800834203,0.5882352941176471,0.12873259379045981,0.8696540714085086,0.006553889029386105,0.04427484998276772,alta,alta
MAR,Morocco,DITYDI,Ditylenchus dipsaci,nematode,B,1.0,1.0,1445713.48,15120.2,0.47236704900938475,0.7352941176470589,0.01862981305497177,0.7413906492241313,0.006470668982627592,0.2575062596596727,alta,alta
FRA,France,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,697884.0,6068.0,1.0,0.7647058823529411,0.008432138175068209,0.6882686951116792,0.006448105663287454,0.5263231197912841,alta,alta
USA,United States of America,RALSPS,Ralstonia pseudosolanacearum,bacteria,B | X,1.0,1.0,10932903.8,112002.0,0.12721584984358708,0.35294117647058826,0.1398170308826537,0.8697782750919683,0.006277744378709595,0.03905279380281671,alta,alta
CMR,Cameroon,RALSSO,Ralstonia solanacearum species complex,bacteria,A,1.0,1.0,1198229.508,64224.0,0.18248175182481752,0.8676470588235294,0.03899820462989998,0.7881507139988142,0.006174576194622421,0.12478770965524377,alta,alta
ZAF,South Africa,TSWV00,Orthotospovirus tomatomaculae,virus,A,1.0,1.0,528746.0,8089.2,1.0,0.7647058823529411,0.007979862179934807,0.690865692514198,0.006102247549361911,0.5283090589814455,alta,alta
USA,United States of America,TYLCV0,Begomovirus coheni,virus,A | B | X,1.0,1.0,10932903.8,112002.0,0.09384775808133472,0.45588235294117646,0.1398170308826537,0.8697782750919683,0.005981867082172051,0.03721219081620854,alta,alta
USA,United States of America,MELGMY,Meloidogyne enterolobii,nematode,B | C | D | X,1.0,1.0,10932903.8,112002.0,0.1710114702815433,0.25,0.1398170308826537,0.8697782750919683,0.005977579005410638,0.03718551541060553,alta,alta
IRN,Iran (Islamic Republic of),INSV00,Orthotospovirus impatiensnecromaculae,virus,B,1.0,1.0,3544692.5880000005,79149.6,0.2794577685088634,0.3235294117647059,0.06485337593297263,0.8258985993944279,0.0058635757912777805,0.07467181104749965,alta,alta
NLD,Netherlands (Kingdom of the),TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,822896.0,1808.0,1.0,0.7647058823529411,0.007505830597178603,0.6493476835840162,0.005739752809607167,0.4965599933289535,alta,alta
CHN,China,TOMMV0,Tobamovirus maculatessellati,virus,B | X,1.0,1.0,123061709.666,2190435.4,0.035453597497393116,0.16176470588235295,1.0,1.0,0.005735140771637122,0.005735140771637122,alta,alta
PAK,Pakistan,RALSSO,Ralstonia solanacearum species complex,bacteria,A,1.0,1.0,749874.0,65728.4,0.18248175182481752,0.8676470588235294,0.03604317614739318,0.7759171895613628,0.005706707258201475,0.12285077872509771,alta,alta
ITA,Italy,TOCV00,Crinivirus tomatichlorosis,virus,B | X,1.0,1.0,6213584.0,100250.0,0.13660062565172054,0.4264705882352941,0.09614067539471903,0.850041558885175,0.005600785527579856,0.04952014785936299,alta,alta
EGY,Egypt,TYLCV0,Begomovirus coheni,virus,A,1.0,1.0,6777502.452,161718.6,0.09384775808133472,0.45588235294117646,0.12873259379045981,0.8696540714085086,0.005507635660237117,0.03720687694334998,alta,alta
EGY,Egypt,MELGMY,Meloidogyne enterolobii,nematode,B,1.0,1.0,6777502.452,161718.6,0.1710114702815433,0.25,0.12873259379045981,0.8696540714085086,0.005503687534315801,0.037180205346974825,alta,alta
USA,United States of America,TRSV00,Nepovirus nicotianae,virus,B | X,1.0,1.0,10932903.8,112002.0,0.16579770594369134,0.23529411764705882,0.1398170308826537,0.8697782750919683,0.005454433640518171,0.033931115927037465,alta,alta
CAN,Canada,TSWV00,Orthotospovirus tomatomaculae,virus,B | X,1.0,1.0,526176.8,6170.4,1.0,0.7647058823529411,0.007084550578231836,0.6809972570416858,0.005417597501000815,0.520762608325995,alta,alta
RUS,Russian Federation,INSV00,Orthotospovirus impatiensnecromaculae,virus,B,1.0,1.0,2869625.836,77921.4,0.2794577685088634,0.3235294117647059,0.058812142390811895,0.8194467699743464,0.005317370906217061,0.07408848303638511,alta,alta
TUR,Türkiye,MELGCH,Meloidogyne chitwoodi,nematode,B,1.0,1.0,13443254.6,169401.4,0.12095933263816476,0.23529411764705882,0.1863594388651923,0.8904148484451926,0.005303979613166241,0.025342114315068966,alta,alta
ESP,Spain,INSV00,Orthotospovirus impatiensnecromaculae,virus,C,1.0,1.0,4252392.0,52460.0,0.2794577685088634,0.3235294117647059,0.058436677395416504,0.8161875135645745,0.005283424061880876,0.07379380451414973,alta,alta
TUR,Türkiye,PSTVD0,Pospiviroid fusituberis,viroid,C,1.0,1.0,13443254.6,169401.4,0.07090719499478623,0.39705882352941174,0.1863594388651923,0.8904148484451926,0.005246824660438156,0.025069031186673824,alta,alta
USA,United States of America,PEPMV0,Potexvirus pepini,virus,B | X,1.0,1.0,10932903.8,112002.0,0.08446298227320125,0.4411764705882353,0.1398170308826537,0.8697782750919683,0.005210013265117593,0.0324106178076655,alta,alta
TUR,Türkiye,CORBMI,Clavibacter michiganensis,bacteria,A,1.0,1.0,13443254.6,169401.4,0.047966631908237745,0.5735294117647058,0.1863594388651923,0.8904148484451926,0.005126799259709178,0.024495556617044032,alta,alta
TUR,Türkiye,CSVD00,Pospiviroid impedichrysanthemi,viroid,C,1.0,1.0,13443254.6,169401.4,0.08759124087591241,0.3088235294117647,0.1863594388651923,0.8904148484451926,0.005041066830617053,0.024085931924451326,alta,alta
NGA,Nigeria,CPMMV0,Carlavirus vignae,virus,A,1.0,1.0,3607373.3439999996,910056.4,0.06256517205422316,0.17647058823529413,0.4440293742929905,0.9141826086043019,0.004902489564665295,0.010093410387583535,alta,alta
ITA,Italy,TOBRFV,Tobamovirus fructirugosum,virus,B | X,1.0,1.0,6213584.0,100250.0,0.08654848800834203,0.5882352941176471,0.09614067539471903,0.850041558885175,0.004894605936184556,0.04327635980339172,alta,alta
ITA,Italy,RALSSL,Ralstonia solanacearum,bacteria,C,1.0,1.0,6213584.0,100250.0,0.07924921793534932,0.6176470588235294,0.09614067539471903,0.850041558885175,0.00470589823744009,0.0416078736422971,alta,alta
IND,India,HETDRO,Globodera rostochiensis,nematode,B | C | K | X,1.0,1.0,20834644.6,841798.6,0.008342022940563087,1.0,0.5528070236103583,0.9602662634909727,0.004611528872662009,0.008010563199090492,alta,alta
TUR,Türkiye,TORSV0,Nepovirus lycopersici,virus,B,1.0,1.0,13443254.6,169401.4,0.07507820646506778,0.3088235294117647,0.1863594388651923,0.8904148484451926,0.004320914426243188,0.020645084506672566,alta,alta
SYR,Syrian Arab Republic,DITYDI,Ditylenchus dipsaci,nematode,C,1.0,1.0,742004.38,13918.8,0.47236704900938475,0.7352941176470589,0.012368218539911956,0.7198203462144319,0.0042958374214715975,0.25001427408693006,alta,alta
ALB,Albania,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,312017.978,6620.0,1.0,0.7647058823529411,0.00555048645094086,0.6689573425294939,0.004244489638954775,0.5115556148754953,alta,alta
CHL,Chile,DITYDI,Ditylenchus dipsaci,nematode,A,1.0,1.0,818021.918,11961.6,0.47236704900938475,0.7352941176470589,0.012093527483006515,0.7170919241590523,0.004200429330339471,0.2490666147672596,alta,alta
GRC,Greece,DITYDI,Ditylenchus dipsaci,nematode,B,1.0,1.0,821918.0,11810.0,0.47236704900938475,0.7352941176470589,0.012056075197990263,0.7167658836049522,0.0041874210764043344,0.248953371521379,alta,alta
AUS,Australia,TSWV00,Orthotospovirus tomatomaculae,virus,A | X,1.0,1.0,394038.08999999997,4957.8,1.0,0.7647058823529411,0.005458975598597841,0.665070990288016,0.004174510751868937,0.5085836984555416,alta,alta
