iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
BRN,Brunei Darussalam,Tomatoes,12.0,141.13400000000001,11711.060000000001,2.292002389595369e-06,1.0937458699700223e-05,6.614730544647796e-06,0.2763619011854729,0.18441960948981723,0.23039075533764505
BTN,Bhutan,Tomatoes,74.4,248.51399999999998,3368.28,4.035843112559011e-06,6.781224393814138e-05,3.59240435253502e-05,0.30773741401305343,0.31080942289900987,0.3092734184560316
BWA,Botswana,Tomatoes,144.4,4702.219999999999,32221.54,7.636359400571892e-05,0.00013161408635305934,0.00010398884017938912,0.4714596081611446,0.35802474382709754,0.4147421759941211
CAN,Canada,Tomatoes,6170.4,526176.8,85265.18000000001,0.008545059893077817,0.005624041263385854,0.007084550578231836,0.7344750988300881,0.6275194152532834,0.6809972570416858
CHE,Switzerland,Tomatoes,178.6,36543.8,204973.02,0.0005934677464317263,0.00016278584364720497,0.00037812679503946564,0.5857724434061744,0.3732131374706048,0.4794927904383896
CHL,Chile,Tomatoes,11961.6,818021.918,68365.7,0.013284596134151847,0.010902458831861183,0.012093527483006515,0.7590768065626174,0.6751070417554872,0.7170919241590523
CHN,China,Tomatoes,1097147.0,61576724.63199999,56126.7,1.0,1.0,1.0,1.0,1.0,1.0
CHN,"China, mainland",Tomatoes,1093288.4,61484985.034,56240.880000000005,0.9985101578794869,0.9964830601551113,0.9974966090172992,0.9999168727645499,0.9997466868928412,0.9998317798286955
CIV,Côte d'Ivoire,Tomatoes,4908.4,51171.96,10422.68,0.0008310276375662749,0.0044737851901340475,0.002652406413850161,0.6045434190565248,0.6110705881980205,0.6078070036272727
CMR,Cameroon,Tomatoes,64224.0,1198229.508,18643.72,0.01945913029900437,0.058537278960795594,0.03899820462989998,0.7803588756096858,0.7959425523879426,0.7881507139988142
COD,Democratic Republic of the Congo,Tomatoes,6722.8,50942.748,7578.660000000001,0.0008273052570504252,0.006127528945528721,0.003477417101289573,0.6042931249348973,0.6336832324583372,0.6189881786966173
COG,Congo,Tomatoes,824.0,3893.3059999999996,4725.38,6.322690957123008e-05,0.0007510388307127486,0.0004071328701419893,0.4609369689803014,0.4828354127458907,0.471886190863096
COK,Cook Islands,Tomatoes,10.0,280.534,28053.82,4.55584478837663e-06,9.114548916416852e-06,6.83519685239674e-06,0.31446910330587374,0.17240843704010078,0.24343877017298726
COL,Colombia,Tomatoes,17423.2,871160.9820000001,50064.9,0.014147569348748341,0.01588046086805141,0.015014015108399876,0.7625858553861421,0.7021467925491826,0.7323663239676623
COM,Comoros,Tomatoes,1263.2,11277.602,8928.4,0.0001831471561275491,0.0011513498191217768,0.0006672484876246629,0.5202257735188016,0.5135231111863399,0.5168744423525707
CPV,Cabo Verde,Tomatoes,492.4,10836.583999999999,22424.46,0.00017598506683755112,0.0004488003886443658,0.00031239272774095846,0.5180018849021883,0.44587431990953474,0.48193810240586155
CRI,Costa Rica,Tomatoes,1091.2,57130.02,52380.14,0.0009277859506400387,0.000994579577759407,0.0009611827641997228,0.6106839866736069,0.5030080739283037,0.5568460303009553
CUB,Cuba,Tomatoes,32296.4,249144.22000000003,8147.219999999999,0.004046077823868624,0.029436711762416523,0.016741394793142572,0.6927929063842435,0.7465181413663884,0.719655523875316
CYP,Cyprus,Tomatoes,262.0,14068.0,53808.259999999995,0.0002284629473892021,0.00023880118161012152,0.0002336320644996618,0.5325512098327595,0.4006373333032731,0.4665942715680163
CZE,Czechia,Tomatoes,166.0,13864.0,117689.76000000001,0.00022515000729342465,0.00015130151201251974,0.00018822575965297218,0.5317368541427571,0.3679832576465802,0.4498600558946686
DEU,Germany,Tomatoes,384.0,103032.0,268438.32,0.0016732296271967778,0.00034999867839040713,0.0010116141527935925,0.6435624910410441,0.4280376170833129,0.5358000540621786
DJI,Djibouti,Tomatoes,326.6,1483.236,4554.26,2.408760792108122e-05,0.00029768116761017444,0.00016088438776562782,0.40715539141354246,0.4164293790481547,0.4117923852308486
DMA,Dominica,Tomatoes,35.2,426.742,12081.380000000001,6.930248442903248e-06,3.208321218578732e-05,1.9506730314345287e-05,0.3377893408149212,0.2580530017894281,0.29792117130217466
DNK,Denmark,Tomatoes,30.0,10936.0,364533.36,0.00017759957297756003,2.7343646749250555e-05,0.00010247160986340529,0.5185110033244553,0.24690334622081386,0.3827071747726346
DOM,Dominican Republic,Tomatoes,6068.8,256994.958,42372.82,0.0041735730429943284,0.005531437446395059,0.004852505244694693,0.6945226551157938,0.6263258724841366,0.6604242637999652
DZA,Algeria,Tomatoes,25167.2,1679590.336,66844.42,0.027276383179483953,0.02293876754892462,0.025107575364204285,0.7991874041745182,0.7285859145623749,0.7638866593684466
ECU,Ecuador,Tomatoes,1770.2,50460.75199999999,30488.4,0.0008194776890386391,0.0016134574491841111,0.0012164675691113752,0.603763102113399,0.5377690362097308,0.5707660691615649
EGY,Egypt,Tomatoes,161718.6,6777502.452,41887.12,0.11006597854147457,0.14739920903944503,0.12873259379045981,0.8769680844907091,0.862340058326308,0.8696540714085086
ESP,Spain,Tomatoes,52460.0,4252392.0,81009.1,0.0690584311753102,0.04781492361552281,0.058436677395416504,0.8509794432998451,0.781395583829304,0.8161875135645745
EST,Estonia,Tomatoes,6.0,326.0,48000.0,5.294208192271815e-06,5.468729349850111e-06,5.381468771060963e-06,0.322815928915558,0.13991075057568045,0.23136333974561923
